Name,School Code
Berkley Building Blocks - Early Childhood Center,8002
Berkley High School,291
Berkshire Middle School,292
Bernice McDowell Elem. School,6275
Berrien County Juvenile Center,2577
Berrien Springs Discovery Academy,9086
Berrien Springs High School,297
Berrien Springs Middle School,296
Berrien Springs Virtual Academy,567
Bert Goens Learning Center,6908
Bertha Neal School,301
Besser Elementary School,106
Bessie B. Baker School,307
Bethany Based School,7784
Bethune Adult Education,452
Betsie Valley School,5591
Beverly Elementary School,316
Big Bay De Noc School,6166
Big Burning School,319
Big Jackson Public School,320
Big Rapids High School,322
Big Rapids Middle School,321
Big Rapids Virtual School,7943
Big Rock Elementary School,5592
Bingham Farms Elementary School,5670
Birch Run High School,327
Birch Run Post Secondary,3121
Birch Run Progressive High School,9779
Birchview School,329
Bird Elementary School,330
Birmingham Covington School,818
Bishop Elementary School,308
Black Elementary School,2372
Black River Public School Elementary,2914
Black River Public School Middle/High,8331
Blackbird Educational Center,4448
Blackwell Institute,2058
Blair Elementary School,7461
Blair Moody Elementary School,345
Blanche Sims Elementary School,347
Blandford School,8554
Blended Learning Academies Credit Recovery High School,2371
Blended Learning Academies Credit Recovery High School - Livonia,3999
Blissfield Elementary,587
Blissfield High School,353
Blissfield Middle School,607
Bloomfield Hills High School,2118
Bloomingdale Elementary School,358
Bloomingdale Middle and High School,357
Blossomland Learning Center,6922
Blue Star Elementary School,1548
Blue Water Middle College Academy,650
Bois Blanc Pines School,5804
Borland Elementary School,6413
Bothwell Middle School,6268
Botsford Elementary School,368
Boulan Park Middle School,6367
Bow Elementary-Middle School,4319
Bowen Elementary,369
Boyd W. Arthurs Middle School,6130
Boyne City Education Center,9845
Boyne City Elementary School,595
Boyne City High School,371
Boyne City Middle School,6486
Boyne Falls Public School,372
Boys To Men Group Home,3512
Bozymowski Center,8395
Bradford Academy 9-12,9292
Bradford Academy K-8,9292
Branch Area Careers Center,6141
Branch Line School,2064
Brandon Adult Transition Program,2879
Brandon High School,385
Brandon Middle School,5788
Brandywine Elementary School,386
Brandywine Innovation Academy,8161
Brandywine Middle School,8845
Brandywine Senior High School,387
Breckenridge Elementary School,5083
Breckenridge Middle/High School,388
Breithaupt Career and Technical Center,2461
Brenda Hague Early Learning Village,4166
Brenda Scott Academy for Theatre Arts,9341
Brendel Elementary School,9665
Brethren High School,392
Brethren Middle School,8746
Breton Downs School,393
Brewer Academy,9991
Brewster Elementary School,1114
Briarwood Elementary School,4990
Brick Elementary School,2186
Bridge Academy,3875
Bridge Academy East,9464
Bridge Academy of Southwest Michigan,3924
Bridge Academy West,923
Bridge Academy-NIAF,4512
Bridge Alternative High School,9920
Bridgeport High School,398
Bridgeport-Spaulding Middle School-Schrah,6585
Bridgman Elementary School,400
Bridgman High School,401
Brighton High School,402
Brimley Area School,404
Britton Deerfield School-Deerfield Building,688
Britton Deerfield Schools-Britton Building,686
Bronson Jr/Sr High School,408
Brooklands Elementary School,410
Brookside Elementary,417
Brookside Elementary School,415
Brookside Learning Center,6215
Brookwood Elementary,419
Brown City Elementary School,6165
Brown City High School,421
Brown Elementary School,476
Brown Elementary School,476
Brown Elementary School,3219
Brown Elementary School,3219
Brown School,422
Brownell Middle School,424
Brownell STEM Academy,1916
Browning Elementary School,4067
Brownstown Middle School,5298
Bruce Collins Elementary School,5753
Bryant Middle School,432
Bryant School,434
Buchanan Elementary,436
Buchanan Elementary School,4992
Buchanan High School,435
Buchanan Middle School,6444
Buchanan Step Up,2697
Buchanan Virtual Academy,2344
Buckley Community Schools,438
Bullock Creek Adult Education,9686
Bullock Creek Elementary School,444
Bullock Creek High School,443
Bullock Creek Middle School,6295
Bunche Preparatory Academy,446
Bunker Elementary,1253
Burger Development Center,4674
Burns Elementary-Middle School,456
Burns Park Elementary School,455
Burr Elementary School,457
Burr Oak Elementary School,458
Burr Oak High School,459
Burr Oak Virtual Academy,3088
Bursley School,462
Burt Township School,4999
Burton Elementary,5829
Burton Elementary School,464
Burton Glen Charter Academy,8766
Burton International Academy,468
Burton Middle School,467
Bushnell Elementary School,5001
Bussey Center for Early Child Education,2749
Byron Area Elementary School,473
Byron Area High School,472
Byron Area Middle School,6402
Byron Center Charter School,8326
Byron Center Early Childhood Center,1839
Byron Center High School,475
Byron Center West Middle School,4906
C-A Alternative Ed/Atlantis,7710
C.K. Schickler Elementary School,6597
C.L.K. Elementary School,2293
C.O.O.R. ATIC (Advanced Technical Innovation Center),9926
C.O.O.R. Early Childhood Services,9399
C.O.O.R. Special Educational Center,7995
CA Frost Environmental Science Academy Elementary,3432
CA Frost Environmental Science Academy Middle High School,9281
Cadillac Innovation High School,7271
Cadillac Senior High School,488
Caledonia Elementary School,492
Caledonia High School,491
Caledonia Resource Center,9505
Calhoun Area Career Center,9756
Calhoun County Youth Center,9757
Calumet High School,497
Cambridge Alternative High School,7376
Camden-Frontier K-12 School,504
Cameron Elementary School,9333
Campbell Elementary School,511
Campus Elementary,2028
Caniff Liberty Academy,1371
Cannonsburg Elementary School,5007
Canton Charter Academy,8816
Canton High School,6276
Canton Preparatory High School,2325
Capac Elementary School,518
Capac Jr.-Sr. High School,519
Capac Virtual Education Program,1394
Capital Area K-12 Online,4025
CAPS Academy,3415
Capstone Academy Charter School-Riverbend,4377
Capstone-Wayne Co. Juvenile Detention Fac.,3244
Cardinal Elementary,9778
Career and Alternative Pathways to Education Center,9912
Career and Technical Education,8858
Career and Technical Education Center,8449
Career Connections Academy,1379
Career Development School,295
Career Opportunities Center,6246
Career Preparation,2159
Career Preparation Center,6549
Careerline Tech Center,6644
Carl T. Renton Jr. High School,5184
Carleton Elementary School,5553
Carleton Middle School,6121
Carman-Ainsworth High School,5009
Carman-Ainsworth Middle School,31
Carney-Nadeau Public School,527
Caro Alternative High School,7809
Caro High School,529
Caro Middle School,6416
Carpenter Elem. School,8443
Carpenter School,533
Carrie Knause Early Childhood Learning Center,535
Carrollton Elementary School,5141
Carrollton High School,536
Carrollton Middle School,8409
Carson City Elementary School,538
Carson City-Crystal High School,539
Carson City-Crystal Upper Elementary/Middle School,7892
Carson City-Crystal Virtual Academy,2110
Carsonville-Port Sanilac Elementary School,540
Carsonville-Port Sanilac H.S.,541
Carsonville-Port Sanilac Learning Center,9548
Carstens Elementary-Middle School,542
Carter Elementary School,543
Carter Middle School,5694
Carver STEM Academy,546
CASA,96
Cascades Elementary School,550
Caseville School K-12 (Elementary),551
Caseville School K-12 (Secondary),551
Casman Alternative Academy,8477
Cass City Day Care,3855
Cass City Elementary,509
Cass City Jr. and Sr. High School,552
Cass Technical High School,554
Cassopolis Adult Education,7867
Cassopolis Alternative Ed.,7865
Cassopolis High School,5995
Cassopolis Middle School,3851
Cavanaugh School,561
CB Sabbath 6-8 Preparatory Academy,363
Cedar Crest Elementary School,562
Cedar Springs Early Childhood Center,4370
Cedar Springs High School,570
Cedar Springs Middle School,9524
Cedar Street Community and Family Center,9303
Cedar Trails Elementary School,8405
Cedar View Elementary School,9955
Cedarville School,2163
Centennial Middle School,7497
Center for Countywide Programs,55
Center for Economicology,9899
Center for Innovation,7468
Center Line High School,580
Center Line Preparatory Academy,3747
Central,4471
Central Academy,8333
Central Elementary School,4822
Central Elementary School,4822
Central Elementary School,4822
Central Elementary School,4822
Central Elementary School,4822
Central Elementary School,4822
Central Elementary School,4822
Central Elementary School,585
Central Elementary School,585
Central Elementary School,585
Central Elementary School,585
Central Elementary School,585
Central Elementary School,585
Central Elementary School,585
Central Elementary School,2101
Central Elementary School,2101
Central Elementary School,2101
Central Elementary School,2101
Central Elementary School,2101
Central Elementary School,2101
Central Elementary School,2101
Central Elementary School,583
Central Elementary School,583
Central Elementary School,583
Central Elementary School,583
Central Elementary School,583
Central Elementary School,583
Central Elementary School,583
Central Elementary School,4503
Central Elementary School,4503
Central Elementary School,4503
Central Elementary School,4503
Central Elementary School,4503
Central Elementary School,4503
Central Elementary School,4503
Central Elementary School,6315
Central Elementary School,6315
Central Elementary School,6315
Central Elementary School,6315
Central Elementary School,6315
Central Elementary School,6315
Central Elementary School,6315
Central Elementary School,623
Central Elementary School,623
Central Elementary School,623
Central Elementary School,623
Central Elementary School,623
Central Elementary School,623
Central Elementary School,623
Central Elementary School,1606
Central Elementary School,1606
Central Elementary School,1606
Central Elementary School,1606
Central Elementary School,1606
Central Elementary School,1606
Central Elementary School,1606
Central Grade School,599
Central High School,617
Central High School,617
Central High School,617
Central High School,617
Central High School,620
Central High School,620
Central High School,620
Central High School,620
Central High School,1265
Central High School,1265
Central High School,1265
Central High School,1265
Central High School,4200
Central High School,4200
Central High School,4200
Central High School,4200
Central Kelloggsville Elementary,1023
Central Lake Public Schools-Elementary,609
Central Lake Public Schools-Middle/High,609
Central Middle School,1978
Central Middle School,1978
Central Middle School,1978
Central Middle School,1264
Central Middle School,1264
Central Middle School,1264
Central Middle School,3091
Central Middle School,3091
Central Middle School,3091
Central Montcalm Adult Education,1450
Central Montcalm Elementary School,5406
Central Montcalm Middle - High School,610
Central Montcalm Upper Elem. School,8888
Central Park Elementary School,3132
Central School,611
Central School,612
Central Woodlands 5/6 School,8542
Centreville Adult Education,9738
Centreville Elementary School,628
Centreville Jr. /Sr. High School,627
Cesar Chavez Academy Elementary,8347
Cesar Chavez Academy Intermediate,173
Cesar Chavez High School,9153
Cesar Chavez Middle School,8569
Cesar E. Chavez Elementary,1539
Challenger Elementary,7454
Challenger Elementary School,7653
Chandler Park Academy - Elementary,8915
Chandler Park Academy - High School,9825
Chandler Park Academy - Middle School,8454
Chandler Woods Charter Academy,8719
Chapman Elementary School,637
Char-Em Alternative Schools,9927
Char-Em Special Education Schools,7052
Charles A. Lindbergh Elementary School,639
Charles C. McGlinnen School,4103
Charles L. Bowers Farm,9945
Charles R. Drew Transition Center,859
Charles Wright Academy of Arts and Science,9125
Charlevoix Elementary School,5796
Charlevoix Middle/ High School,646
Charlotte Middle School,649
Charlotte Public Schools Project Success,3343
Charlotte Senior High School,648
Charlotte Upper Elementary School,774
Charlton Heston Academy,1291
Charlton Heston Academy Pre-K,3673
Charyl Stockwell Academy,8327
Charyl Stockwell Academy High School,9941
Charyl Stockwell Academy Middle School,4081
Chassell 6-12 School,652
Chassell K-5 School,652
Chatfield School,8451
Cheboygan Area High School,655
Cheboygan Intermediate School,5776
Chelsea High School,656
Cherokee Elementary School,7986
Cherry Creek Elementary School,7822
Cherry Creek Elementary School,7822
Cherry Creek Elementary School,8003
Cherry Creek Elementary School,8003
Cherry Knoll Elementary School,661
Cherryland Middle School,665
Chesaning Middle School,6774
Chesaning Union High School,666
Chesaning Union Schools Alternative Education,3115
Chester F. Miller School,667
Chestnut Hill Elementary School,669
Cheyenne Elementary School,8627
Children's Village School,2803
Childs Elementary School,9148
Chippewa Hills High School,6178
Chippewa Hills Middle School,4966
Chippewa Middle School,8214
Chippewa Valley Adult and Mohegan Alt. Educ.,7984
Chippewa Valley High School,679
Christa McAuliffe Middle School,190
Chrysler Elementary School,689
CHS-Horizons School,9566
Church School,690
Churchill Community Ed. Center,5932
Churchill Elementary School,692
Churchill High School,4848
City Middle/High,5156
Cityside Middle School,8350
Clague Middle School,6304
Clara B. Bolen Elementary School,5074
Clara B. Ford Academy (SDA),9787
Clare High School,697
Clare Middle School,6394
Clare Pioneer High School,7754
Clare Primary School,696
Clare-Gladwin Area School,777
Clarence Fischer Center,7857
Clarence Randall Elem. School,698
Clarenceville High School,700
Clarenceville Middle School,699
Clarke School,992
Clarkston Early Childhood Center,3408
Clarkston Elementary School,704
Clarkston High School,706
Clarkston Junior High School,705
Clarkston Project Search,4384
Clawson High School,710
Clawson Middle School,711
Clayton H. Symons Elementary School,9182
Clear Lake Elementary School,713
Cleveland Elementary,719
Cleveland Elementary School,716
Clifford E. Bryant Comm. School,6336
Clifford H. Smart Middle School,721
Climax-Scotts Elementary School,3425
Climax-Scotts High School,723
Climax-Scotts Virtual Academy,9930
Clinton County Education Center,6889
Clinton Elementary School,724
Clinton High School,6184
Clinton Middle School,725
Clinton Valley Elementary School,728
Clinton Virtual Jr/Sr High School,2244
Clintondale High School,731
Clintondale Middle School,5031
Clio Area High School,732
Clio Community High School,733
Clio Early Elementary,4232
Clio Elementary,1383
Clio Intermediate School,1416
Clio Learning Center,3286
Clio Middle School,1391
Clippert Academy,7500
Cody High School,18
Coit Creative Arts Academy,9061
Coldwater High School,744
Cole Academy,8211
Cole Academy East,3324
Coleman A. Young Elementary School,3717
Coleman Elementary School,745
Coleman Junior/Senior High School,746
Collins Elementary School,751
Collins Elementary School,6930
Coloma Elementary School,752
Coloma High School,753
Coloma Intermediate School,4733
Coloma Junior High School,754
Colon Elementary School,755
Colon High School,5036
Colonel Donald McMonagle Elementary School,5928
Columbia Alternative Education,5598
Columbia Central High School,5884
Columbia Elementary School,412
Columbia Upper Elementary School,577
Columbiaville Elementary School,759
Commerce Elementary School,763
Commonwealth Community Development Academy,8656
Communication and Media Arts High School,7654
Community Based - Early Childhood,9495
Community Based Early Childhood,9507
Community Based Early Childhood,3163
Community Based Early Childhood Services,9637
Community Based Early Childhood Services,9440
Community Based Early Childhood Services,9442
Community Based Early Childhood Services,9560
Community Based Early On Services,3729
Community Ed. Resource Center,2085
Community Education Center,6556
Community Education Center @ Walsh,8958
Community High School,5745
Community Service Center,3422
Community-based Transition Center,9768
Compass Pointe,8474
Comstock Compass High School,5038
Comstock Early Learning Academy,240
Comstock Early Learning Academy,4473
Comstock Elementary School,1489
Comstock High School,765
Comstock Middle School,6391
Comstock Park Flex Academy,3620
Comstock Park High School,766
Conant Elementary School,4830
Concord Academy - Boyne,8290
Concord Academy - Petoskey,8210
Concord Elementary School,767
Concord High School,768
Concord Middle School,5973
Congress Elementary,9283
Congress School,771
Consolidated Community School Services,9417
Constantine Alternative Education,9922
Constantine High School,775
Constantine Middle School,776
Cook Elementary School,5599
Cooke School,2770
Cooke STEM Academy,781
Cooley Elementary School,4169
Coolidge Elementary School,788
Coon School,5041
Cooper Elementary School,790
Cooper Upper Elementary School,791
Coopersville East Elementary,9939
Coopersville High School,794
Coopersville Middle School,4802
Coopersville South Elementary School,795
Coopersville West Early Childhood Center,793
COP ESD Programs,9024
Copper Country Learning Center,3822
Copper Island Academy,3955
Cornell Elementary School,801
Cornerstone Jefferson-Douglass Academy,2782
Correctional Services,3294
Corunna High School,6673
Corunna Middle School,806
Cory GSRP,503
Costello Elementary School,6364
Cotter Early Childhood Center,8754
Country Elementary School,564
Country Oaks Elementary School,7811
Countryside Academy - Elementary,9427
Countryside Academy - Middle/High School,8450
Countryside Elementary School,9170
Courtade Elementary School,7573
Cousino Senior High School,814
Covenant High School Central,9649
Covenant High School East,9621
Covenant High School Grand Rapids,2075
Covenant High School Southwest,9624
Covenant School - Spectrum,4228
Covert Elementary School,816
Covert High School,817
Covert Middle School,7237
Cramer Junior High School,5966
Crawford School,827
Creative Montessori Academy,8853
Creative Technologies Academy,8633
Creekside Elementary School,9048
Creekside Intermediate School,4609
Creekside Learning Center,4487
Creekside Middle School,4622
Crescent Academy Elementary,1643
Crescent Academy Middle School,9445
Crescent Academy PK-1,2320
Crescentwood Elementary School,831
Crestwood Early Childhood Center,4265
Crestwood Elementary School,832
Crestwood High School,833
Crestwood Middle School,2022
Crissman Elementary School,5756
Crockett Midtown High School of Science and Medicine,865
Cromie Elementary School,835
Cross Creek Charter Academy,8515
Crossroads Alternative High School,8172
Crossroads Charter Academy (6-12),9187
Crossroads Charter Academy (K-5),8599
Crossroads Middle School,2769
Croswell Early Childhood Center,839
Croswell-Lexington High School,841
Croswell-Lexington Middle School,6389
Crothers Elementary School,842
Crowell School Early Childhood - GSRP,3068
Crowley Center,1479
Cumberland School,849
Custer Elementary School,856
Da Vinci Schools (6-12),8244
Da Vinci Schools (K-5),8659
Dailey Elementary School,862
Daisy Brook Elementary School,863
Dakota High School,8000
Daly School,867
Daniel Axford Elementary School,868
Dansville Elementary School,870
Dansville High School,871
Dansville Middle School,6492
David C. Outwin Middle School,6427
David Ellis Academy,8670
David Ellis Academy - PK,2839
David Ellis Academy West,9710
David Hicks School,874
David Scott Elementary School,3424
Davidson Middle School,875
Davis Aerospace Technical High School at Golightly,29
Davis Elementary School,5055
Davis Junior High School,5754
Davis Middle School,876
Davisburg Elementary School,877
Davison Alternative Education,7770
Davison Cardinals Nest,9323
Davison Elementary-Middle School,880
Davison High School,878
Davison Middle School,879
Dawson Elementary School,881
Dean A. Naldrett School,884
Dean Jennings Educational Center,8205
"Dearborn Center for Math, Science and Technology",9636
Dearborn Heights Virtual Academy,430
Dearborn High School,886
Dearborn Magnet High School,86
Dearborn Newcomer College Prep Academy,3745
Dearborn Public Schools Virtual K-12,3958
Dearborn STEM Middle School,2425
Decatur Jr Sr High School,888
Deckerville Community High School,891
Deckerville Elementary School,890
Deerfield Elementary School,7446
Deerfield Elementary School,7446
Deerfield Elementary School,8804
Deerfield Elementary School,8804
Dekeyser Elementary School,6182
Delta Center Elementary School,898
Delta Kelly Elementary School,9051
Delta Mills Early Childhood Center,3298
Delta-Schoolcraft Area Center,6209
Delta-Schoolcraft Manistique Area Satellite Center,9044
Delton Kellogg Elem. School,901
Delton-Kellogg High School,900
Delton-Kellogg Middle School,6422
Denby High School,902
Derby Middle School,904
Detention Center,7276
DeTour Arts and Technology Academy,489
DeTour High School,905
Detroit Academy of Arts and Sciences,8489
Detroit Academy of Arts and Sciences Middle School,8945
Detroit Achievement Academy,1968
Detroit Community Schools - Elementary,9619
Detroit Community Schools - High School,8456
Detroit Edison Public School Academy,8651
Detroit Edison Public School Academy - High School,2736
Detroit Enterprise Academy,9462
Detroit Innovation Academy,1170
Detroit International Academy for Young Women,39
Detroit Leadership Academy High School,2222
Detroit Leadership Academy K-8,334
Detroit Lions Academy,8929
Detroit Merit Charter Academy,9102
Detroit Premier Academy,9600
Detroit Prep,3032
Detroit Public Safety Academy,2015
Detroit School of Arts,7794
Detroit Service Learning Academy Campus,8704
Developmental Classrooms-WSESD,8874
DeWitt High School,912
DeWitt Middle School,5993
Dexter Alternative School,2949
Dexter Early Elementary Complex,3635
Dexter High School,913
Diann Banks-Williamson Educational Center,9475
DiAnne M. Pellerin Center,60
Dibble Elementary School,914
Dicken Elementary School,915
Dickinson Academy,917
Dickinson East Elementary School,7474
Dickinson Iron Early Childhood Education,9547
Dickinson West Elementary School,916
Dickinson-Iron Special Education,8877
Dickinson-Iron Tech Ed. Center,6545
Dieck Elementary School,5769
Diman-Wolf Early Childhood Center,9896
Dimondale Elementary School,918
Diploma and Careers Institute,3399
Discovery Creative Pathways - Harper Woods,3146
Discovery Creative Pathways - Redford,3429
Discovery Elementary,9669
Discovery Enrichment Center,9893
Discovery Middle School,2269
Discovery Middle School,2269
Dix Street Elementary School,922
Dixon Elementary School,925
DK Academy,7761
Dodson Elementary School,8899
Doherty Elementary School,5783
Dollar Bay 6-12,927
Dollar Bay K-5,927
Donald J. Yacks Elem. School,6768
Donald L. Pavlik Middle School,5801
Donelson Hills Elementary School,933
Donley Elementary School,5554
Dooley Center,9497
Doris Klaussen Dev. Center,426
Dorr School,936
Dort Elementary School,937
Dossin Elementary-Middle School,939
Douglas Elementary 3-4 Campus,513
Douglas Elementary School,941
Douglas R. Welch High School,8967
Douglas Road Elementary School,943
Dove Academy of Detroit,8501
Dowagiac Middle School,608
Downriver Digital Academy,2204
Doyle/Ryder School,3129
DPP School of Early Learning,1723
DPSCD Virtual School,4023
Dr. Joseph F. Pollack Academic Center of Excellence,8702
Dr. Martin Luther King Academy,2546
Dr. W. Scott Westerman Jr. Preschool and Family Center,8589
Drager Early Education Center,3186
Dresden Elementary School,958
Drummond Island Elem. School,5065
Dryden Elementary School,960
Dryden High School,959
Dublin Elementary,961
Dudley School,965
